header,pos_x,pos_y,width,height
TIMELINE,,,,,,
POSITION_01,,,,,,
TNW_Timeline_Arrow_Pointer_s~iPad.png,282,502,21,12,,
TNW_Timeline_Arrow_Pointer_n~iPad.png,282,502,21,12,,
TNW_Timeline_01_1997_s~iPad.png,20,471,258,108,,
TNW_Timeline_01_1997_n~iPad.png,20,471,258,108,,
TNW_Timeline_02_1999_s~iPad.png,20,471,258,108,,
TNW_Timeline_02_1999_n~iPad.png,20,471,258,108,,
TNW_Timeline_03_2001_s~iPad.png,20,471,258,108,,
TNW_Timeline_03_2001_n~iPad.png,20,471,258,108,,
TNW_Timeline_04_2006_s~iPad.png,20,471,258,108,,
TNW_Timeline_04_2006_n~iPad.png,20,471,258,108,,
TNW_Timeline_05_2007_s~iPad.png,20,471,258,108,,
TNW_Timeline_05_2007_n~iPad.png,20,471,258,108,,
TNW_Timeline_06_2009_s~iPad.png,20,471,258,108,,
TNW_Timeline_06_2009_n~iPad.png,20,471,258,108,,
TNW_Timeline_07_2012_s~iPad.png,20,471,258,108,,
TNW_Timeline_07_2012_n~iPad.png,20,471,258,108,,
TNW_Timeline_08_2014_s~iPad.png,20,471,258,108,,
TNW_Timeline_08_2014_n~iPad.png,20,471,258,108,,
TNW_Timeline_09_2014_s~iPad.png,20,471,258,108,,
TNW_Timeline_09_2014_n~iPad.png,20,471,258,108,,
TNW_Timeline_10_2014_s~iPad.png,20,471,258,108,,
TNW_Timeline_10_2014_n~iPad.png,20,471,258,108,,
TNW_Timeline_11_2015_s~iPad.png,20,471,258,108,,
TNW_Timeline_11_2015_n~iPad.png,20,471,258,108,,
TNW_Timeline_12_2016_s~iPad.png,20,471,258,108,,
TNW_Timeline_12_2016_n~iPad.png,20,471,258,108,,
POSITION_02,,,,,,
TNW_Timeline_Arrow_Pointer_s~iPad.png,282,668,21,12,,
TNW_Timeline_Arrow_Pointer_n~iPad.png,282,668,21,12,,
TNW_Timeline_01_1997_s~iPad.png,20,637,258,108,,
TNW_Timeline_01_1997_n~iPad.png,20,637,258,108,,
TNW_Timeline_02_1999_s~iPad.png,20,637,258,108,,
TNW_Timeline_02_1999_n~iPad.png,20,637,258,108,,
TNW_Timeline_03_2001_s~iPad.png,20,637,258,108,,
TNW_Timeline_03_2001_n~iPad.png,20,637,258,108,,
TNW_Timeline_04_2006_s~iPad.png,20,637,258,108,,
TNW_Timeline_04_2006_n~iPad.png,20,637,258,108,,
TNW_Timeline_05_2007_s~iPad.png,20,637,258,108,,
TNW_Timeline_05_2007_n~iPad.png,20,637,258,108,,
TNW_Timeline_06_2009_s~iPad.png,20,637,258,108,,
TNW_Timeline_06_2009_n~iPad.png,20,637,258,108,,
TNW_Timeline_07_2012_s~iPad.png,20,637,258,108,,
TNW_Timeline_07_2012_n~iPad.png,20,637,258,108,,
TNW_Timeline_08_2014_s~iPad.png,20,637,258,108,,
TNW_Timeline_08_2014_n~iPad.png,20,637,258,108,,
TNW_Timeline_09_2014_s~iPad.png,20,637,258,108,,
TNW_Timeline_09_2014_n~iPad.png,20,637,258,108,,
TNW_Timeline_10_2014_s~iPad.png,20,637,258,108,,
TNW_Timeline_10_2014_n~iPad.png,20,637,258,108,,
TNW_Timeline_11_2015_s~iPad.png,20,637,258,108,,
TNW_Timeline_11_2015_n~iPad.png,20,637,258,108,,
TNW_Timeline_12_2016_s~iPad.png,20,637,258,108,,
TNW_Timeline_12_2016_n~iPad.png,20,637,258,108,,
POSITION_03,,,,,,
TNW_Timeline_Arrow_Pointer_s~iPad.png,282,834,21,12,,
TNW_Timeline_Arrow_Pointer_n~iPad.png,282,834,21,12,,
TNW_Timeline_01_1997_s~iPad.png,20,803,258,108,,
TNW_Timeline_01_1997_n~iPad.png,20,803,258,108,,
TNW_Timeline_02_1999_s~iPad.png,20,803,258,108,,
TNW_Timeline_02_1999_n~iPad.png,20,803,258,108,,
TNW_Timeline_03_2001_s~iPad.png,20,803,258,108,,
TNW_Timeline_03_2001_n~iPad.png,20,803,258,108,,
TNW_Timeline_04_2006_s~iPad.png,20,803,258,108,,
TNW_Timeline_04_2006_n~iPad.png,20,803,258,108,,
TNW_Timeline_05_2007_s~iPad.png,20,803,258,108,,
TNW_Timeline_05_2007_n~iPad.png,20,803,258,108,,
TNW_Timeline_06_2009_s~iPad.png,20,803,258,108,,
TNW_Timeline_06_2009_n~iPad.png,20,803,258,108,,
TNW_Timeline_07_2012_s~iPad.png,20,803,258,108,,
TNW_Timeline_07_2012_n~iPad.png,20,803,258,108,,
TNW_Timeline_08_2014_s~iPad.png,20,803,258,108,,
TNW_Timeline_08_2014_n~iPad.png,20,803,258,108,,
TNW_Timeline_09_2014_s~iPad.png,20,803,258,108,,
TNW_Timeline_09_2014_n~iPad.png,20,803,258,108,,
TNW_Timeline_10_2014_s~iPad.png,20,803,258,108,,
TNW_Timeline_10_2014_n~iPad.png,20,803,258,108,,
TNW_Timeline_11_2015_s~iPad.png,20,803,258,108,,
TNW_Timeline_11_2015_n~iPad.png,20,803,258,108,,
TNW_Timeline_12_2016_s~iPad.png,20,803,258,108,,
TNW_Timeline_12_2016_n~iPad.png,20,803,258,108,,
POSITION_04,,,,,,
TNW_Timeline_Arrow_Pointer_s~iPad.png,282,1000,21,12,,
TNW_Timeline_Arrow_Pointer_n~iPad.png,282,1000,21,12,,
TNW_Timeline_01_1997_s~iPad.png,20,969,258,108,,
TNW_Timeline_01_1997_n~iPad.png,20,969,258,108,,
TNW_Timeline_02_1999_s~iPad.png,20,969,258,108,,
TNW_Timeline_02_1999_n~iPad.png,20,969,258,108,,
TNW_Timeline_03_2001_s~iPad.png,20,969,258,108,,
